SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,202738,0022301194,"APR 14, 2024",PHX @ MIN,W,5,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,-5,1
22023,202738,0022301156,"APR 09, 2024",PHX vs. LAC,L,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22023,202738,0022301125,"APR 05, 2024",PHX vs. MIN,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,1
22023,202738,0022301110,"APR 03, 2024",PHX vs. CLE,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22023,202738,0022301069,"MAR 29, 2024",PHX @ OKC,L,8,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,5,1,1
22023,202738,0022301002,"MAR 20, 2024",PHX vs. PHI,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1
