SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1642013,0022301189,"APR 14, 2024",TOR @ MIA,L,11,3,7,0.429,0,1,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,-12,1
22023,1642013,0022301176,"APR 12, 2024",TOR @ MIA,L,19,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,3,0,-15,1
22023,1642013,0022301160,"APR 10, 2024",TOR @ BKN,L,24,3,10,0.3,1,1,1.0,0,0,0.0,5,9,14,1,2,0,1,4,7,0,1
22023,1642013,0022301146,"APR 09, 2024",TOR vs. IND,L,14,3,8,0.375,0,1,0.0,0,2,0.0,5,4,9,0,0,1,0,3,6,0,1
22023,1642013,0022301137,"APR 07, 2024",TOR vs. WAS,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-1,1
22023,1642013,0022301122,"APR 05, 2024",TOR @ MIL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-4,1
22023,1642013,0022301108,"APR 03, 2024",TOR @ MIN,L,31,0,7,0.0,0,2,0.0,0,0,0.0,1,4,5,1,1,2,1,1,0,-24,1
