SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629647,0022301198,"APR 14, 2024",UTA @ GSW,L,7,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,-9,1
22023,1629647,0022301184,"APR 12, 2024",UTA @ LAC,W,23,5,7,0.714,1,2,0.5,1,1,1.0,2,3,5,1,2,1,2,1,12,-1,1
22023,1629647,0022301168,"APR 11, 2024",UTA vs. HOU,W,23,4,5,0.8,0,1,0.0,0,0,0.0,2,5,7,2,0,2,1,0,8,-1,1
22023,1629647,0022301154,"APR 09, 2024",UTA vs. DEN,L,25,2,5,0.4,0,2,0.0,4,4,1.0,1,4,5,0,1,0,0,0,8,-3,1
22023,1629647,0022301142,"APR 07, 2024",UTA @ GSW,L,30,2,3,0.667,0,0,0.0,2,2,1.0,2,2,4,2,0,2,1,1,6,-6,1
22023,1629647,0022301126,"APR 05, 2024",UTA @ LAC,L,33,4,8,0.5,1,3,0.333,3,5,0.6,1,5,6,0,3,1,3,0,12,-12,1
22023,1629647,0022300836,"FEB 27, 2024",PHI @ BOS,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1,1
22023,1629647,0022300817,"FEB 25, 2024",PHI vs. MIL,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2,1
22023,1629647,0022300794,"FEB 22, 2024",PHI vs. NYK,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
