SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1641970,0022301129,"APR 06, 2024",MEM vs. PHI,L,36,5,9,0.556,2,4,0.5,1,2,0.5,0,11,11,1,1,0,3,3,13,-11,1
22023,1641970,0022301121,"APR 05, 2024",MEM vs. DET,W,30,6,10,0.6,2,4,0.5,3,3,1.0,3,6,9,0,1,1,0,1,17,25,1
22023,1641970,0022301075,"MAR 30, 2024",MEM @ ORL,L,29,2,5,0.4,0,1,0.0,3,4,0.75,4,4,8,1,2,3,1,4,7,-12,1
22023,1641970,0022301055,"MAR 27, 2024",MEM vs. LAL,L,1,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,2,1
22023,1641970,0022301040,"MAR 25, 2024",MEM @ DEN,L,6,2,4,0.5,1,2,0.5,0,1,0.0,3,2,5,0,1,0,0,0,5,3,1
22023,1641970,0022301015,"MAR 22, 2024",MEM @ SAS,W,13,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,1,1,0,-2,1
22023,1641970,0022301001,"MAR 20, 2024",MEM @ GSW,L,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,4,1
