SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631298,0022301193,"APR 14, 2024",MEM vs. DEN,L,9,0,4,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,1
22023,1631298,0022301177,"APR 12, 2024",MEM vs. LAL,L,14,0,2,0.0,0,2,0.0,0,0,0.0,1,3,4,0,2,0,1,2,0,-10,1
22023,1631298,0022301158,"APR 10, 2024",MEM @ CLE,L,15,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,1,1,0,1,0,0,-5,1
22023,1631298,0022301151,"APR 09, 2024",MEM vs. SAS,L,26,2,7,0.286,2,5,0.4,0,0,0.0,0,2,2,0,1,1,0,1,6,-13,1
