SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630562,0022300896,"MAR 06, 2024",MEM @ PHI,W,6,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-3,1
22023,1630562,0022300879,"MAR 04, 2024",MEM @ BKN,W,21,2,7,0.286,1,6,0.167,0,0,0.0,3,2,5,0,1,0,1,2,5,2,1
22023,1630562,0022300868,"MAR 02, 2024",MEM vs. POR,L,18,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,1,2,1,1,3,7,7,1
22023,1630562,0022300861,"MAR 01, 2024",MEM vs. POR,L,7,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,0,0,1,0,0,3,2,1
22023,1630562,0022300830,"FEB 26, 2024",MEM vs. BKN,L,5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-1,1
22023,1630562,0022300706,"FEB 04, 2024",MEM @ BOS,L,30,3,11,0.273,0,6,0.0,1,1,1.0,3,1,4,2,0,1,0,1,7,-16,1
22023,1630562,0022300693,"FEB 02, 2024",MEM vs. GSW,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22023,1630562,0022300663,"JAN 29, 2024",MEM vs. SAC,L,23,3,6,0.5,2,3,0.667,2,2,1.0,1,1,2,1,0,0,0,1,10,2,1
