SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630285,0022301193,"APR 14, 2024",MEM vs. DEN,L,23,4,8,0.5,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,1,8,-3,1
22023,1630285,0022301177,"APR 12, 2024",MEM vs. LAL,L,12,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,1,2,-21,1
22023,1630285,0022301158,"APR 10, 2024",MEM @ CLE,L,24,2,5,0.4,0,1,0.0,0,0,0.0,1,7,8,4,1,0,1,5,4,-7,1
22023,1630285,0022301151,"APR 09, 2024",MEM vs. SAS,L,31,5,15,0.333,2,6,0.333,0,0,0.0,0,3,3,5,1,0,2,0,12,-10,1
22023,1630285,0022301129,"APR 06, 2024",MEM vs. PHI,L,30,4,12,0.333,3,4,0.75,3,4,0.75,2,2,4,4,2,2,2,2,14,-15,1
22023,1630285,0022301121,"APR 05, 2024",MEM vs. DET,W,33,1,9,0.111,0,4,0.0,0,0,0.0,0,2,2,3,2,1,3,1,2,15,1
22023,1630285,0022301075,"MAR 30, 2024",MEM @ ORL,L,9,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,4,1,0,1,1,0,12,1
