SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630610,0022301055,"MAR 27, 2024",MEM vs. LAL,L,10,4,4,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,8,8,1
22023,1630610,0022301040,"MAR 25, 2024",MEM @ DEN,L,20,2,6,0.333,1,4,0.25,0,3,0.0,2,2,4,3,0,0,1,1,5,-6,1
22023,1630610,0022301015,"MAR 22, 2024",MEM @ SAS,W,12,0,4,0.0,0,0,0.0,1,2,0.5,0,2,2,0,1,1,1,3,1,-10,1
22023,1630610,0022301001,"MAR 20, 2024",MEM @ GSW,L,20,1,6,0.167,0,1,0.0,0,0,0.0,4,6,10,5,0,0,0,2,2,-11,1
22023,1630610,0022300989,"MAR 18, 2024",MEM @ SAC,L,17,3,8,0.375,2,3,0.667,0,2,0.0,1,2,3,2,0,0,1,1,8,-5,1
22023,1630610,0022300972,"MAR 16, 2024",MEM vs. OKC,L,5,1,2,0.5,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,1,2,0,1
22023,1630610,0022300950,"MAR 13, 2024",MEM vs. CHA,L,17,0,3,0.0,0,1,0.0,2,2,1.0,0,5,5,4,0,0,1,0,2,-13,1
22023,1630610,0022300940,"MAR 12, 2024",MEM vs. WAS,W,21,3,8,0.375,0,1,0.0,2,2,1.0,1,4,5,6,2,0,2,4,8,21,1
22023,1630610,0022300931,"MAR 10, 2024",MEM @ OKC,L,28,3,9,0.333,1,2,0.5,0,0,0.0,0,10,10,5,3,0,2,1,7,-8,1
