SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630186,0022301022,"MAR 23, 2024",TOR @ WAS,L,18,3,5,0.6,2,4,0.5,0,0,0.0,0,4,4,1,0,0,0,2,8,9,1
22023,1630186,0022301012,"MAR 22, 2024",TOR vs. OKC,L,19,3,7,0.429,1,4,0.25,0,0,0.0,0,0,0,2,2,0,2,4,7,-11,1
22023,1630186,0022300999,"MAR 20, 2024",TOR vs. SAC,L,22,5,8,0.625,1,3,0.333,0,0,0.0,0,3,3,1,1,0,2,0,11,-21,1
22023,1630186,0022300979,"MAR 17, 2024",TOR @ ORL,L,19,2,6,0.333,1,4,0.25,0,0,0.0,1,0,1,2,2,0,3,1,5,7,1
22023,1630186,0022300963,"MAR 15, 2024",TOR vs. ORL,L,18,3,5,0.6,1,2,0.5,3,4,0.75,1,4,5,1,1,0,0,2,10,5,1
22023,1630186,0022300946,"MAR 13, 2024",TOR @ DET,L,19,1,7,0.143,0,4,0.0,2,2,1.0,1,6,7,0,1,0,0,1,4,-10,1
22023,1630186,0022300890,"MAR 05, 2024",TOR vs. NOP,L,5,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,-7,1
