SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630554,0022301184,"APR 12, 2024",UTA @ LAC,W,18,1,6,0.167,0,2,0.0,0,0,0.0,2,4,6,2,0,1,0,1,2,8,1
22023,1630554,0022301154,"APR 09, 2024",UTA vs. DEN,L,6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,8,1
22023,1630554,0022301126,"APR 05, 2024",UTA @ LAC,L,17,3,6,0.5,0,1,0.0,0,0,0.0,1,3,4,6,1,0,0,1,6,-10,1
22023,1630554,0022301000,"MAR 20, 2024",UTA @ OKC,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,7,1
22023,1630554,0022300974,"MAR 16, 2024",UTA vs. MIN,L,13,1,3,0.333,0,0,0.0,0,0,0.0,1,3,4,5,0,0,0,0,2,4,1
22023,1630554,0022300966,"MAR 15, 2024",UTA vs. ATL,W,12,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,1,2,6,1
22023,1630554,0022300739,"FEB 08, 2024",UTA @ PHX,L,1,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,1
